Cluster,CVE Title Score,Release Date Score,CWE Score,Vector String Score,Security Update Consistency
0,0.625,0.375,0.5,0.625,0.08248074718706437
1,1.0,0.0,1.0,0.0,1.0
2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0
3,1.0,0.0,0.75,0.0,0.869119623655914
4,0.0,0.0,0.0,0.0,1.0
5,1.0,0.4,0.8,0.4,0.7882352941176471
6,1.0,0.6666666666666666,0.6666666666666666,1.0,0.7526395173453997
7,1.0,0.6666666666666666,0.0,0.0,1.0
8,1.0,0.0,1.0,0.0,0.75
9,1.0,0.8571428571428571,0.8571428571428571,1.0,0.855855855855856
10,1.0,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.8810075381503951
11,0.75,0.5,0.75,0.75,0.5039682539682538
12,1.0,0.0,1.0,1.0,0.7368421052631579
13,0.6666666666666666,0.0,0.0,0.6666666666666666,0.923076923076923
14,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0
15,1.0,0.8,0.6,0.6,1.0
16,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,0.9578947368421051
17,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.7300794443651588
18,1.0,0.6666666666666666,0.6666666666666666,0.0,1.0
19,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0
20,1.0,0.0,0.0,0.0,1.0
21,1.0,0.25,0.625,0.25,0.26785714285714285
22,1.0,0.4,0.4,0.6,0.3519480519480519
23,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.40540540540540543
24,1.0,0.0,0.0,0.0,0.7777777777777778
25,1.0,0.0,0.0,0.0,0.2972972972972973
26,1.0,0.8571428571428571,0.5714285714285714,0.5714285714285714,1.0
27,1.0,0.75,0.5,0.75,0.9861111111111112
28,0.75,0.75,0.75,0.75,0.7569444444444446
29,1.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.3489177489177489
30,1.0,0.0,1.0,1.0,0.5
31,1.0,0.3333333333333333,0.3333333333333333,1.0,0.7033333333333331
32,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8285714285714286
33,1.0,0.4,0.4,0.4,0.5999999999999999
34,0.8333333333333334,0.5,0.6666666666666666,1.0,0.3600000000000001
35,1.0,0.0,0.0,0.0,0.2
36,1.0,0.0,0.0,0.0,0.5357142857142857
37,1.0,0.0,1.0,1.0,1.0
38,1.0,0.9166666666666666,0.9583333333333334,1.0,0.9797366015901496
39,1.0,0.0,0.0,1.0,1.0
40,1.0,0.0,0.0,1.0,0.9473684210526315
41,1.0,0.75,1.0,0.75,0.8493937021931091
42,1.0,0.6666666666666666,1.0,0.6666666666666666,0.46763149704326173
43,1.0,0.9782608695652174,0.8260869565217391,0.8043478260869565,0.7758774539213277
44,0.9230769230769231,0.7692307692307693,0.6153846153846154,0.8461538461538461,0.4572901614674954
45,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8918918918918918
46,1.0,0.0,0.0,0.8,0.6579004329004329
47,1.0,0.0,1.0,1.0,1.0
48,0.75,0.0,0.5,0.75,0.5970671628566365
49,1.0,0.0,0.0,0.0,0.888888888888889
50,1.0,0.0,0.0,0.0,0.75
51,0.0,0.0,0.0,0.0,0.9411764705882353
52,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6481481481481483
53,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.9238586258323102
54,1.0,0.3333333333333333,0.0,0.7777777777777778,0.47452679170861295
55,1.0,0.0,0.0,1.0,0.34615384615384615
56,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6389225589225589
57,1.0,0.0,0.0,0.0,0.9210526315789473
58,1.0,0.0,0.0,0.5,0.4183986618197144
59,1.0,0.0,0.0,0.0,0.25
60,1.0,0.0,0.0,0.0,0.9210526315789473
61,1.0,0.9166666666666666,0.6666666666666666,0.75,0.5001438804186877
62,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5739415616989987
63,1.0,0.7692307692307693,0.7692307692307693,0.9230769230769231,0.719008653333596
64,1.0,0.0,0.0,1.0,0.43243243243243246
65,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.9655913978494624
66,1.0,0.0,0.6666666666666666,0.0,0.8132678132678133
67,1.0,0.5,1.0,1.0,0.7160238732380293
68,1.0,0.9523809523809523,0.9523809523809523,1.0,0.8756140350877197
69,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.9136288998357964
70,1.0,0.0,0.5,0.5,0.5287392655813709
71,1.0,0.0,1.0,1.0,0.9166666666666666
72,0.75,0.0,0.0,0.0,0.29730157032208115
73,1.0,0.0,0.0,0.6666666666666666,0.9317733990147783
74,1.0,0.6666666666666666,1.0,1.0,0.8692511192511192
75,0.9285714285714286,0.9285714285714286,0.2857142857142857,0.7857142857142857,0.7903137586395508
76,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4838709677419355
77,0.972972972972973,1.0,0.918918918918919,0.918918918918919,0.746223075526065
78,1.0,0.0,0.0,0.0,0.5526315789473685
79,0.8,0.4,0.4,0.6,1.0
80,1.0,0.0,0.5,0.5,0.5965032679738562
81,1.0,0.4,0.4,0.4,0.7001382961909278
82,1.0,0.75,0.5,1.0,0.888888888888889
83,1.0,0.0,1.0,1.0,0.9655172413793104
84,1.0,0.6666666666666666,0.0,0.6666666666666666,1.0
85,1.0,0.4,0.4,0.8,0.20531874585583024
86,1.0,0.5,1.0,1.0,0.4867178362573099
87,1.0,0.6666666666666666,0.0,0.6666666666666666,0.8421052631578947
